,Potential Factory Placement,Destination,Distance,Distance_normalized
384,Antakalnis,Tirana,2368078.1,2.0732179576512273
385,Semily,Tirana,1602097.6,1.4026131630666798
386,Slatina,Tirana,682042.5,0.5971182955838058
387,Naklo nad Notecia,Tirana,1977975.4,1.731688713760061
388,Moravsky Krumlov,Tirana,1312474.8,1.1490526111975374
389,Hlevakha,Tirana,1853922.2,1.6230819402148393
390,Halaucesti,Tirana,1220371.0,1.0684170729828488
391,Koprivnice,Tirana,1442777.7,1.263130906256316
392,Dobrovelychkivka,Tirana,1711840.4,1.4986913894068188
393,Patos,Tirana,121409.7,0.10629242771724809
394,Otopeni,Tirana,873279.4,0.7645434219956213
395,Wolow,Tirana,1738280.0,1.5218388749196976
396,Tarnaveni,Tirana,1004948.3,0.8798176302002341
397,Lyaskovets,Tirana,709051.0,0.6207638447779912
398,Tyn nad Vltavou,Tirana,1427892.8,1.2500993926513202
399,Ghidigeni,Tirana,1109781.3,0.9715973980020017
400,Kozova,Tirana,1584582.1,1.3872785973962147
401,Fojnica,Tirana,466240.3,0.4081866060670446
402,Myrnohrad,Tirana,2063957.9,1.8069651427949593
403,Elva,Tirana,2740840.9,2.3995663711196653
404,Znojmo,Tirana,1303057.7,1.1408080770206461
405,Berezan,Tirana,1951056.4,1.7081215205150353
406,Svishtov,Tirana,715629.5,0.6265232259125951
407,Bosansko Grahovo,Tirana,548191.4,0.47993360299644133
408,Brno,Tirana,1299307.8,1.137525094073675
409,Yakoruda,Tirana,499019.4,0.43688423168827956
410,Romaniv,Tirana,1856287.7,1.6251529010834118
411,Csorvas,Tirana,899426.0,0.7874343902671169
412,Dzhankoi,Tirana,1823350.8,1.5963171238557257
413,Tutrakan,Tirana,849936.7,0.7441072274207611
414,Shumilina,Tirana,2376622.1,2.0806981054682154
415,Kisvarda,Tirana,1245644.2,1.0905433922488017
416,Nowa Deba,Tirana,1486650.6,1.3015409925343981
417,Popasna,Tirana,2191558.5,1.9186776134803947
418,Czechowice-Dziedzice,Tirana,1486736.1,1.301615846541696
419,Partizanske,Tirana,1165123.8,1.020048952374855
420,Knurow,Tirana,1523915.7,1.334166045953738
421,Stryi,Tirana,1469924.7,1.2868977101874692
422,Kiskoros,Tirana,862437.0,0.7550510583847938
423,Vyshneve,Tirana,1871031.0,1.6380604459464971
424,Slovenj Gradec,Tirana,1168591.2,1.0230846106778306
425,Tarutyne,Tirana,1251938.3,1.0960537853170256
426,Rudne,Tirana,1544134.3,1.351867136385919
427,Zboriv,Tirana,1625156.4,1.4228008073178924
428,Metkovic,Tirana,358589.1,0.31393954512648536
429,Horodnye,Tirana,1201862.8,1.0522134128908103
430,Rozhyshche,Tirana,1712742.3,1.4994809897481276
431,Krasnosilka,Tirana,1433722.2,1.2552029476237394
432,Lauterach,Tirana,1731237.6,1.5156733560776616
433,Targu Jiu,Tirana,675290.9,0.5912073679151288
434,Klicau,Tirana,2258809.8,1.977555149164454
435,Nove Zamky,Tirana,1099355.2,0.9624694989904499
436,Shyroke,Tirana,1728730.8,1.5134786891128178
437,Trebon,Tirana,1383286.4,1.2110471377843148
438,Ivanava,Tirana,1902386.0,1.665511292716354
439,Comana,Tirana,838822.9,0.7343772570546047
440,Visoko,Tirana,497949.5,0.43594754978877165
441,Budapest I. keruelet,Tirana,980237.2,0.8581834213144227
442,Blachownia,Tirana,1609008.7,1.4086637306670993
443,Leskovac,Tirana,353536.7,0.30951624236073744
444,Bakhmach,Tirana,2110590.1,1.8477909561179169
445,Lomnice nad Popelkou,Tirana,1526302.1,1.336255304468539
446,Ulcinj,Tirana,129526.6,0.11339865569193325
447,Lorinci,Tirana,1026780.8,0.8989316666251393
448,Berezhany,Tirana,1568736.1,1.3734056547103541
449,Trbovlje,Tirana,1098990.5,0.9621502094411924
450,Moletai,Tirana,2375574.9,2.0797812970887737
451,Skidel',Tirana,1984602.9,1.737490993682473
452,Peshtera,Tirana,600929.6,0.5261051305715673
453,Targu-Mures,Tirana,1047073.1,0.9166972803361254
454,Fehergyarmat,Tirana,1261514.4,1.1044375216829265
455,Kufstein,Tirana,1510590.1,1.3224996768350519
456,Chyst',Tirana,2171135.2,1.9007973111734318
457,Dobrota,Tirana,198118.5,0.17344986719100383
458,Shumen,Tirana,905621.1,0.792858110274259
459,Buk,Tirana,1871806.8,1.6387396475706097
460,Krasnopavlivka,Tirana,2053859.9,1.7981244905646288
461,Kubrat,Tirana,834256.8,0.7303797028707155
462,Bielany,Tirana,1854796.1,1.623847026963115
463,Mosty,Tirana,1961023.0,1.716847133955203
464,Markivka,Tirana,2391817.2,2.0940011946646004
465,Kastel Kambelovac,Tirana,497632.8,0.43567028354185683
466,Rivne,Tirana,1752201.7,1.5340271209243515
467,Chelmek,Tirana,1574273.3,1.3782533928297627
468,Rejon placu Grunwaldzkiego,Tirana,1697478.6,1.4861178422488113
469,Nymburk,Tirana,1477998.7,1.2939663798356857
470,Dabrowa Tarnowska,Tirana,1425529.6,1.2480304453993183
471,Wattens,Tirana,1568722.3,1.3733935730109306
472,Marklowice,Tirana,1501372.9,1.3144301522027082
473,Niemodlin,Tirana,1625701.1,1.423277684250935
474,Zamberk,Tirana,1417363.3,1.2408809684426387
475,Mahala,Tirana,1374572.6,1.2034183325352898
476,Halchiu,Tirana,899692.3,0.787667532046572
477,Frumusica,Tirana,1278710.8,1.1194927199413596
478,Brod,Tirana,812962.9,0.7117372029175132
479,Permet,Tirana,243622.8,0.21328822045745593
480,Hostomel,Tirana,1895425.2,1.6594172134883005
481,Johvi,Tirana,2897804.9,2.5369860717219246
482,Asparuhovo,Tirana,968238.1,0.8476783836656843
483,Kadan,Tirana,1611030.4,1.4104336996326428
484,Zavidovici,Tirana,555142.3,0.4860190149183868
485,Sievierodonetsk,Tirana,2252934.5,1.9724114094091698
486,Semenivka,Tirana,1993196.4,1.7450144780300019
487,Pinkafeld,Tirana,1257356.2,1.100797078020403
488,Legionowo,Tirana,1869630.3,1.6368341534550113
